kepid,kepoi_name,koi_disposition,tce_plnt_num,pca
9305831,K00204.01,CONFIRMED,1,8149225689.706509
7046804,K00205.01,CONFIRMED,1,8149225689.648303
5728139,K00206.01,CONFIRMED,1,8149225689.664575
3762468,K00208.01,CONFIRMED,1,8149225689.655102
10723750,K00209.01,CONFIRMED,1,3222105141.2469583
10723750,K00209.02,CONFIRMED,2,1635143447.0253913
10602291,K00210.01,FALSE POSITIVE,1,6887176590.88172
10656508,K00211.01,FALSE POSITIVE,1,683524454.9387661
6300348,K00212.01,FALSE POSITIVE,1,8149225689.538088
9164836,K00213.01,FALSE POSITIVE,1,8149225689.90121
11046458,K00214.01,CONFIRMED,1,8149225689.65111
12508335,K00215.01,FALSE POSITIVE,1,5030398561.869205
6152974,K00216.01,CONFIRMED,1,4410026280.980181
6152974,K00216.02,CONFIRMED,2,-1932299100.9055102
9595827,K00217.01,CONFIRMED,1,8149225689.756549
9838975,K00218.01,FALSE POSITIVE,1,8149225689.722214
6305192,K00219.01,CONFIRMED,1,8149225689.6473055
7132798,K00220.01,CONFIRMED,1,8149225689.655833
7132798,K00220.02,CONFIRMED,2,-1844313399.2437365
3937519,K00221.01,CONFIRMED,1,8149225393.380457
3937519,K00221.02,FALSE POSITIVE,2,-2226514186.3216043
4249725,K00222.01,CONFIRMED,1,1738620265.5249069
4249725,K00222.02,CONFIRMED,2,-1290515583.6339226
4545187,K00223.01,CONFIRMED,1,6526037502.022595
4545187,K00223.02,CONFIRMED,2,-1724618207.5127225
5547480,K00224.01,FALSE POSITIVE,1,586465984.5219786
5801571,K00225.01,FALSE POSITIVE,1,8149225461.490839
5959753,K00226.01,CONFIRMED,1,-751263357.6247556
3847907,K00229.01,CONFIRMED,1,8149225205.546848
3862246,K00230.01,FALSE POSITIVE,1,8149225052.699279
4043443,K00231.01,FALSE POSITIVE,1,-288203863.04544234
4833421,K00232.01,CONFIRMED,1,3630797901.425391
4833421,K00232.02,CONFIRMED,2,-712125377.1262789
4833421,K00232.03,CONFIRMED,3,-2396056185.342925
4833421,K00232.04,CONFIRMED,4,-2144543321.576806
4833421,K00232.05,CONFIRMED,5,-2456318381.723447
5023956,K00233.01,FALSE POSITIVE,1,8149225689.936249
8491277,K00234.01,CONFIRMED,1,-209300428.52799642
8107225,K00235.01,CONFIRMED,1,1145511831.4227514
8453211,K00236.01,FALSE POSITIVE,1,-1039343489.068978
8041216,K00237.01,CONFIRMED,1,42545040.835065976
7219825,K00238.01,CONFIRMED,1,-1239641073.750248
7219825,K00238.02,CONFIRMED,2,-2671317265.556736
7219825,K00238.03,FALSE POSITIVE,3,-2489815631.4082074
6383785,K00239.01,CONFIRMED,1,2890129989.5300784
6383785,K00239.02,FALSE POSITIVE,2,-1758157978.2543685
8026752,K00240.01,CONFIRMED,1,1604229452.1969678
11288051,K00241.01,CONFIRMED,1,-776829283.0973102
11288051,K00241.02,CONFIRMED,2,-2361194584.8069944
11288051,K00241.03,CONFIRMED,3,-1555052870.3190744
3642741,K00242.01,FALSE POSITIVE,1,6252368099.07466
9592579,K00243.01,FALSE POSITIVE,1,4362811616.913055
4349452,K00244.01,CONFIRMED,1,8149225502.498478
4349452,K00244.02,CONFIRMED,2,6805669980.59288
8478994,K00245.01,CONFIRMED,1,4173918796.990162
8478994,K00245.02,CONFIRMED,2,-1254605431.0432706
11295426,K00246.01,CONFIRMED,1,8149224912.050531
11295426,K00246.02,CONFIRMED,2,-1547546274.6327102
11852982,K00247.01,FALSE POSITIVE,1,-472515902.11592245
5364071,K00248.01,CONFIRMED,1,1221921872.8784919
5364071,K00248.02,CONFIRMED,2,1968821131.9987452
5364071,K00248.03,CONFIRMED,3,-1066266594.3480922
5364071,K00248.04,CONFIRMED,4,-1768738528.1026824
9390653,K00249.01,CONFIRMED,1,3829688433.022017
9757613,K00250.01,CONFIRMED,1,1388388066.1741052
9757613,K00250.02,CONFIRMED,2,-217493285.42190123
9757613,K00250.03,CONFIRMED,3,-1455749820.8412843
9757613,K00250.04,CONFIRMED,4,-906810849.6202195
10489206,K00251.01,CONFIRMED,1,8048219326.376755
10489206,K00251.02,CONFIRMED,2,-1823624049.0566971
11187837,K00252.01,FALSE POSITIVE,1,-435819934.6075896
11752906,K00253.01,FALSE POSITIVE,1,1355067637.5336664
11752906,K00253.02,FALSE POSITIVE,2,-2363624959.931814
5794240,K00254.01,CONFIRMED,1,8149225689.781332
7021681,K00255.01,CONFIRMED,1,-65122229.58571992
7021681,K00255.02,FALSE POSITIVE,2,-2369846847.4446325
7021681,K00255.03,FALSE POSITIVE,3,-2417791299.4997883
11548140,K00256.01,FALSE POSITIVE,1,2324057786.101704
5514383,K00257.01,CONFIRMED,1,8149224854.421976
11231334,K00258.01,FALSE POSITIVE,1,1084733515.3604307
5790807,K00259.01,FALSE POSITIVE,1,8149225689.707659
8292840,K00260.01,CONFIRMED,1,-1183203368.3555262
8292840,K00260.02,CONFIRMED,2,-700870400.6079068
8292840,K00260.03,CONFIRMED,3,-1670081620.988321
5383248,K00261.01,CONFIRMED,1,6052118926.555754
11807274,K00262.01,CONFIRMED,1,-173820303.15590942
11807274,K00262.02,CONFIRMED,2,-1668423353.114457
10514430,K00263.01,FALSE POSITIVE,1,-2097279328.4771926
3097346,K00264.01,FALSE POSITIVE,1,-961091320.3146733
12024120,K00265.01,CONFIRMED,1,-302241054.5405962
7375348,K00266.01,CONFIRMED,1,-1594251817.1555545
7375348,K00266.02,FALSE POSITIVE,2,-2264575048.4261765
3425851,K00268.01,FALSE POSITIVE,1,-848802279.776683
7670943,K00269.01,FALSE POSITIVE,1,-1619152085.0957341
6528464,K00270.01,CONFIRMED,1,-1587968855.3748422
6528464,K00270.02,CONFIRMED,2,-1876478544.086006
9451706,K00271.01,CONFIRMED,1,-835586598.1490045
9451706,K00271.02,CONFIRMED,2,-1080380250.4229405
9451706,K00271.03,CONFIRMED,3,-1705111427.618072
5716763,K00272.01,FALSE POSITIVE,1,8149224769.783352
3102384,K00273.01,CONFIRMED,1,1654253990.6422539
8077137,K00274.01,CONFIRMED,1,-2316060046.0437083
8077137,K00274.02,CONFIRMED,2,-2420384352.718603
10586004,K00275.01,CONFIRMED,1,-1585985119.231622
10586004,K00275.02,CONFIRMED,2,-2364291559.919408
11133306,K00276.01,CONFIRMED,1,-460132252.8832989
11401755,K00277.01,CONFIRMED,1,-71889933.6714985
11401755,K00277.02,CONFIRMED,2,-2617360006.076449
12314973,K00279.01,CONFIRMED,1,3761497481.1710405
12314973,K00279.02,CONFIRMED,2,-1373190365.0226252
12314973,K00279.03,CONFIRMED,3,-2324414363.377633
4141376,K00280.01,CONFIRMED,1,2655274840.431378
4143755,K00281.01,CONFIRMED,1,-1152466119.9419987
5088536,K00282.01,CONFIRMED,1,887325793.1702023
5088536,K00282.02,CONFIRMED,2,-1642373263.1386058
5088536,K00282.03,CONFIRMED,3,-2197715682.664133
5695396,K00283.01,CONFIRMED,1,1865003744.2568834
5695396,K00283.02,CONFIRMED,2,-2330187243.425149
6021275,K00284.01,CONFIRMED,1,-939831979.6797543
6021275,K00284.02,CONFIRMED,2,-1609871700.0334115
6021275,K00284.03,CONFIRMED,3,-1212617104.9447403
6021275,K00284.04,CONFIRMED,4,-2399769204.4111547
6196457,K00285.01,CONFIRMED,1,339162603.08928376
6196457,K00285.02,CONFIRMED,2,-1781346982.9195008
6196457,K00285.03,CONFIRMED,3,-2297925584.0946455
8258171,K00286.01,FALSE POSITIVE,1,-2156387963.3660913
8703887,K00287.01,FALSE POSITIVE,1,8149225689.684561
9592705,K00288.01,FALSE POSITIVE,1,-398888483.60281336
10386922,K00289.01,FALSE POSITIVE,1,-306064481.3661844
10386922,K00289.02,CONFIRMED,2,-1157888510.885942
10488450,K00290.01,FALSE POSITIVE,1,2116699356.7698011
10933561,K00291.01,CONFIRMED,1,-1724340405.3732245
10933561,K00291.02,CONFIRMED,2,-1507297733.3083727
11075737,K00292.01,CONFIRMED,1,1962257839.5529578
11200415,K00293.01,FALSE POSITIVE,1,-1669983898.7693021
11259686,K00294.01,CONFIRMED,1,-1423240044.5698752
11547513,K00295.01,CONFIRMED,1,1482001104.0746415
11547513,K00295.02,CONFIRMED,2,-1578191638.685156
11802615,K00296.01,CONFIRMED,1,-1491408752.7692628
11905011,K00297.01,CONFIRMED,1,-771460660.3218735
12785320,K00298.01,CONFIRMED,1,-1403574708.0272784
12785320,K00298.02,FALSE POSITIVE,2,-2331464516.694862
2692377,K00299.01,CONFIRMED,1,3692626032.1050467
3438975,K00300.01,FALSE POSITIVE,1,-1665096633.2030141
3642289,K00301.01,CONFIRMED,1,-552001790.104465
3642289,K00301.02,CONFIRMED,2,-2257016089.2442164
3662838,K00302.01,CONFIRMED,1,35245036.52167992
5966322,K00303.01,CONFIRMED,1,-578010431.1599844
6029239,K00304.01,CONFIRMED,1,4090709393.780748
6029239,K00304.02,FALSE POSITIVE,2,-2363536714.953922
6063220,K00305.01,CONFIRMED,1,2775090213.607646
6071903,K00306.01,CONFIRMED,1,167412868.3035661
6289257,K00307.01,CONFIRMED,1,-1548071299.6607337
6289257,K00307.02,CONFIRMED,2,-1230502664.6081114
6291837,K00308.01,FALSE POSITIVE,1,-656953994.8785383
7024222,K00309.01,FALSE POSITIVE,1,-872864683.7344487
7050989,K00312.01,CONFIRMED,1,-144129994.84148318
7050989,K00312.02,CONFIRMED,2,-903789013.2624966
7419318,K00313.01,CONFIRMED,1,-286893788.64645696
7419318,K00313.02,CONFIRMED,2,-255944204.10866475
7603200,K00314.01,CONFIRMED,1,2767860743.005958
7603200,K00314.02,CONFIRMED,2,-100974695.14614473
7603200,K00314.03,CONFIRMED,3,-2143267968.6670887
7700622,K00315.01,FALSE POSITIVE,1,28011387.726095457
8008067,K00316.01,CONFIRMED,1,-211618465.7121923
8008067,K00316.02,CONFIRMED,2,-2043673387.3988569
8008067,K00316.03,FALSE POSITIVE,3,8597602.3503819
8121310,K00317.01,CONFIRMED,1,-1141294111.432399
8121310,K00317.02,FALSE POSITIVE,2,-2610299364.3657355
8156120,K00318.01,CONFIRMED,1,942988300.1565322
8684730,K00319.01,FALSE POSITIVE,1,1393620854.4079914
8700558,K00320.01,FALSE POSITIVE,1,799422430.7024462
8753657,K00321.01,CONFIRMED,1,1986182023.053806
8753657,K00321.02,CONFIRMED,2,-1721619589.7464108
8948424,K00322.01,FALSE POSITIVE,1,3493011826.5000205
9139084,K00323.01,CONFIRMED,1,5444127276.932733
9641041,K00324.01,FALSE POSITIVE,1,912739060.3971694
9724984,K00325.01,FALSE POSITIVE,1,-495479339.13102764
9880467,K00326.01,FALSE POSITIVE,1,-977406954.314841
9880467,K00326.02,FALSE POSITIVE,2,-2597660336.532098
9881662,K00327.01,CONFIRMED,1,308655312.8707842
9881662,K00327.02,CONFIRMED,2,-2461644504.372004
9895004,K00328.01,FALSE POSITIVE,1,8149224855.764658
10031885,K00329.01,FALSE POSITIVE,1,-2251312160.4901185
11361646,K00330.01,CONFIRMED,1,-1608177797.2465656
11361646,K00330.02,CONFIRMED,2,-1851923915.1453314
10285631,K00331.01,CONFIRMED,1,-1743513041.2381952
10285631,K00331.02,FALSE POSITIVE,2,-2014273303.5047328
10290666,K00332.01,CONFIRMED,1,-452822705.94412154
10290666,K00332.02,FALSE POSITIVE,2,-2454020752.690919
10337258,K00333.01,CONFIRMED,1,-1190367138.3105342
10383687,K00334.01,FALSE POSITIVE,1,-2298963527.561204
10470206,K00335.01,FALSE POSITIVE,1,-1101543107.60846
10518725,K00336.01,FALSE POSITIVE,1,-2265049120.8279595
10545066,K00337.01,CONFIRMED,1,-1846349875.3489807
10552611,K00338.01,CONFIRMED,1,-760766724.8918313
10552611,K00338.02,CONFIRMED,2,-1940450963.3432407
10587105,K00339.01,CONFIRMED,1,1457027634.790216
10587105,K00339.02,CONFIRMED,2,-1834155954.9219408
10587105,K00339.03,FALSE POSITIVE,3,-2481887693.5455813
10616571,K00340.01,FALSE POSITIVE,1,-2767555960.3476224
10878263,K00341.01,CONFIRMED,1,2547179677.921469
10878263,K00341.02,CONFIRMED,2,-84696561.86259888
10982872,K00343.01,CONFIRMED,1,2327541920.4412823
10982872,K00343.02,CONFIRMED,2,2273721004.256317
10982872,K00343.03,CONFIRMED,3,-2407137224.9138546
11015108,K00344.01,CONFIRMED,1,-323608871.0310229
11074541,K00345.01,CONFIRMED,1,234805464.12798563
11100383,K00346.01,CONFIRMED,1,543095041.4837025
11189127,K00347.01,FALSE POSITIVE,1,8149225689.767674
11194032,K00348.01,CONFIRMED,1,889391919.1075988
11394027,K00349.01,FALSE POSITIVE,1,-117900203.01336971
11395587,K00350.01,FALSE POSITIVE,1,-1563093572.4730458
11442793,K00351.01,CONFIRMED,1,561218403.0416125
11442793,K00351.02,CONFIRMED,2,-1011819757.1196529
11442793,K00351.03,CONFIRMED,3,-2130156861.535673
11442793,K00351.04,CONFIRMED,4,-2333301790.0815606
11442793,K00351.05,CONFIRMED,5,-2498508141.8307095
11442793,K00351.06,CONFIRMED,6,-2257327137.4071817
11442793,K00351.07,CONFIRMED,7,-2370934539.937692
11521793,K00352.01,CONFIRMED,1,-1872359689.577101
11521793,K00352.02,CONFIRMED,2,-1679989734.677195
11566064,K00353.01,FALSE POSITIVE,1,-45844711.609458834
11566064,K00353.02,FALSE POSITIVE,2,-1939021746.8407223
11566064,K00353.03,FALSE POSITIVE,3,-2319798039.1408253
11568987,K00354.01,CONFIRMED,1,-757882285.0632163
11568987,K00354.02,FALSE POSITIVE,2,-1955975790.3728037
11621223,K00355.01,CONFIRMED,1,1066615635.7212801
11624249,K00356.01,CONFIRMED,1,8149225232.870083
12017140,K00358.01,FALSE POSITIVE,1,8149225689.856449
12106929,K00359.01,FALSE POSITIVE,1,-1581122298.7012398
12107021,K00360.01,FALSE POSITIVE,1,-2037895276.9003925
12404954,K00361.01,CONFIRMED,1,392963941.76771843
1571511,K00362.01,FALSE POSITIVE,1,8149225689.908509
2438070,K00363.01,FALSE POSITIVE,1,603130637.9279495
11623629,K00365.01,CONFIRMED,1,-344960213.3454529
3545478,K00366.01,FALSE POSITIVE,1,6721459143.498761
4815520,K00367.01,CONFIRMED,1,8149225470.235641
6603043,K00368.01,FALSE POSITIVE,1,8149225689.71945
7175184,K00369.01,CONFIRMED,1,-485565277.4906207
7175184,K00369.02,CONFIRMED,2,-1402766278.581864
8494142,K00370.01,CONFIRMED,1,-1211743248.6677306
8494142,K00370.02,CONFIRMED,2,-2125317821.1048737
5652983,K00371.01,FALSE POSITIVE,1,-1888037065.8959491
6471021,K00372.01,CONFIRMED,1,5286512719.523586
7364176,K00373.01,FALSE POSITIVE,1,-1669203753.088593
8686097,K00374.01,CONFIRMED,1,-1575543562.0097647
12643589,K00376.01,FALSE POSITIVE,1,-214913052.8763694
12643589,K00376.02,FALSE POSITIVE,2,3829271322.8626823
3323887,K00377.01,CONFIRMED,1,3527783284.172563
2449074,K00378.01,FALSE POSITIVE,1,-1432827007.2713802
2446113,K00379.01,FALSE POSITIVE,1,-451624401.72260463
2446113,K00379.02,FALSE POSITIVE,2,-2474409397.4610476
2452450,K00380.01,FALSE POSITIVE,1,-1095474505.2039022
3230578,K00381.01,FALSE POSITIVE,1,8149224713.529195
3231137,K00382.01,FALSE POSITIVE,1,-344170281.65809023
3353050,K00384.01,CONFIRMED,1,-1273734453.9828837
3446746,K00385.01,CONFIRMED,1,-1460377375.956387
3656121,K00386.01,CONFIRMED,1,-1025338703.085819
3656121,K00386.02,CONFIRMED,2,-1993461019.4488552
3733628,K00387.01,CONFIRMED,1,1244216795.8848438
3831053,K00388.01,FALSE POSITIVE,1,-975804363.0232134
3847708,K00389.01,FALSE POSITIVE,1,-510540067.11125857
3849155,K00390.01,FALSE POSITIVE,1,3310939466.0037293
3858804,K00391.01,FALSE POSITIVE,1,-2414359551.9250927
3942670,K00392.01,CONFIRMED,1,-2389206539.469934
3942670,K00392.02,CONFIRMED,2,-2454093282.889946
3964109,K00393.01,CONFIRMED,1,-2009821960.4266205
4159347,K00394.01,FALSE POSITIVE,1,-831186760.3001649
4165960,K00395.01,FALSE POSITIVE,1,-736553318.195977
4252322,K00396.01,FALSE POSITIVE,1,5529415868.71897
4376644,K00397.01,FALSE POSITIVE,1,8149225689.5847025
9946525,K00398.01,CONFIRMED,1,2290010876.968185
9946525,K00398.02,CONFIRMED,2,4220150532.065314
9946525,K00398.03,CONFIRMED,3,1247716119.3926818
7289157,K00399.01,FALSE POSITIVE,1,8149225689.942214
2695110,K00400.01,FALSE POSITIVE,1,-1125341346.9681315
3217264,K00401.01,CONFIRMED,1,844896235.5484874
3217264,K00401.02,CONFIRMED,2,-1741222014.5327473
3217264,K00401.03,CONFIRMED,3,-2421468223.494342
3342592,K00402.01,FALSE POSITIVE,1,8149225689.792737
4247092,K00403.01,FALSE POSITIVE,1,832254373.684113
4949751,K00404.01,FALSE POSITIVE,1,-484126724.0132735
5003117,K00405.01,FALSE POSITIVE,1,8149225689.906279
5035972,K00406.01,FALSE POSITIVE,1,3388230130.555891
5218441,K00407.01,FALSE POSITIVE,1,8149225466.100189
5351250,K00408.01,CONFIRMED,1,1205908533.2914062
5351250,K00408.02,CONFIRMED,2,-1051383708.8511573
5351250,K00408.03,CONFIRMED,3,-2220794555.4900293
5351250,K00408.04,CONFIRMED,4,-1683078909.8461828
5351250,K00408.05,FALSE POSITIVE,5,-2413820250.1259737
5444548,K00409.01,CONFIRMED,1,-733397004.8746995
5449777,K00410.01,FALSE POSITIVE,1,8149225382.875466
5478055,K00411.01,FALSE POSITIVE,1,-2033095876.1691365
5683743,K00412.01,CONFIRMED,1,8149225689.592133
5791986,K00413.01,CONFIRMED,1,-296775789.21052754
5791986,K00413.02,CONFIRMED,2,-1818753344.4079974
5872150,K00414.01,FALSE POSITIVE,1,8149225689.800062
5872150,K00414.02,FALSE POSITIVE,2,-1248892943.4981444
6289650,K00415.01,FALSE POSITIVE,1,1600726884.7719429
6508221,K00416.01,CONFIRMED,1,1067151885.1075566
6508221,K00416.02,CONFIRMED,2,-1466776880.3547502
6508221,K00416.03,FALSE POSITIVE,3,-2442824371.725948
6879865,K00417.01,FALSE POSITIVE,1,8143161043.375736
7975727,K00418.01,FALSE POSITIVE,1,8149225689.69454
8219673,K00419.01,FALSE POSITIVE,1,8149225689.640982
8352537,K00420.01,CONFIRMED,1,8149225244.970655
9115800,K00421.01,CONFIRMED,1,8149225689.7130995
9214713,K00422.01,FALSE POSITIVE,1,-1696457952.598222
9478990,K00423.01,CONFIRMED,1,8149225689.62443
9597411,K00424.01,FALSE POSITIVE,1,8149225689.802612
9967884,K00425.01,FALSE POSITIVE,1,8149225689.671963
10016874,K00426.01,FALSE POSITIVE,1,-1024173690.7138286
10189546,K00427.01,FALSE POSITIVE,1,-299601517.9682806
10189546,K00427.02,CONFIRMED,2,-1917325846.0572038
10189546,K00427.03,CONFIRMED,3,-2425493634.3227863
10418224,K00428.01,CONFIRMED,1,8149225689.618215
10616679,K00429.01,CONFIRMED,1,4573024231.2740755
10717241,K00430.01,CONFIRMED,1,515110653.7476023
10717241,K00430.02,FALSE POSITIVE,2,-2296974280.357417
10843590,K00431.01,CONFIRMED,1,-466053416.12539476
10843590,K00431.02,CONFIRMED,2,-1712849203.6602337
10858832,K00432.01,CONFIRMED,1,4542748391.967893
10937029,K00433.01,CONFIRMED,1,-275672283.43997854
10937029,K00433.02,CONFIRMED,2,7873204272.816482
11656302,K00434.01,FALSE POSITIVE,1,8149225689.823768
11709124,K00435.01,CONFIRMED,1,-395668264.1615032
11709124,K00435.03,CONFIRMED,3,-2739300988.3973985
11709124,K00435.04,CONFIRMED,4,-1419463260.748756
11709124,K00435.05,CONFIRMED,5,-2052713698.688126
11709124,K00435.06,CONFIRMED,6,-2323926501.706224
11805075,K00436.01,FALSE POSITIVE,1,8149225689.598619
11824222,K00437.01,FALSE POSITIVE,1,8149225689.78547
12302530,K00438.01,CONFIRMED,1,1775043150.2328296
12302530,K00438.02,CONFIRMED,2,-1640370058.1792161
12470954,K00439.01,CONFIRMED,1,8149225575.95875
2438264,K00440.01,CONFIRMED,1,-764140148.2608466
